"BTI_REFERENCE","ISSUING_COUNTRY","START_DATE_OF_VALIDITY","END_DATE_OF_VALIDITY","NOMENCLATURE_CODE","CLASSIFICATION_JUSTIFICATION","STATUS","INVALIDATION_REASON","INVALIDATION_JUSTIFICATION","LANGUAGE","PLACE_OF_ISSUE","DATE_OF _ISSUE","NAME_AND_ADDRESS","DESCRIPTION_OF_GOODS","KEYWORDS"
"FIBTIFI001210-2023-BTI34","FI","26/04/2023","25/04/2026","84812010**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8481 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimikkeen 8481 alanimikehuomautus 3. (https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","26/04/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on hydrauliputkeen asennettava pieni takaiskuventtiili, jonka avulla varmistetaan, että neste kulkee vain haluttuun suuntaan.","CHECK VALVES,VALVES,FOR PRESSURE SYSTEMS,FOR OLEOHYDRAULIC TRANSMISSION,HYDRAULIC SYSTEMS,PIPE FITTINGS"
"FIBTIFI001210-2023-BTI39","FI","08/05/2023","07/05/2026","96035000**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 9603 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XVII jakson 2 huomautuksen l-kohta","VALID","","","fi","","05/05/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on lieriön muotoinen harjakoneen alaharja.  Siinä on keskiputki, jonka avulla se liitetään harjakoneeseen. Siihen on kiinnitetty kohtisuoraan harjaksia. Harjakone pyörittää harjaa sen pituusakselin ympäri, jolloin harjakset puhdistavat koneen alla olevan pinnan. Tavara on valmistettu muovista ja sen paino on 14 kg.","BRUSHES,MACHINE PARTS,CIRCULAR SHAPED,MECHANICAL"
"FIBTIFI001210-2023-BTI40","FI","16/05/2023","15/05/2026","84129040**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 8412 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).","VALID","","","fi","","16/05/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on harjakoneessa ym. käytettävä enimmäkseen teräksestä valmistettu hydrauliöljysäiliö, jossa on valmiiksi asennettuna suodatin, huohotin, liitännät, pinnanosoitin ym.","TANKS, VEHICLES,HYDRAULIC SYSTEMS,FOR OLEOHYDRAULIC TRANSMISSION,OIL RESERVOIRS,HYDRAULIC"
"FIBTIFI001210-2023-BTI60","FI","21/08/2023","20/08/2026","7312108319************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7312 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XV jakson huomautus 2 a. 72 ryhmän huomautus 1 d.
Maailman tullijärjestön (WCO) luokittelusuositukset 7312 10/ 1 ja 2. (https://tulli.fi/tietoa-tullista/tullin-toiminta/luokittelupaatoskokoelma).
Harmonoidun järjestelmän selitykset, nimike 7312.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).
Tullikoodeksikomitean lauselma 402. kokouksessa 5.7.2006 (asia 5. Steel cable with loops).","VALID","","","fi","","18/08/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Teräsköysi, jonka toisessa päässä on puristuslukko sekä alumiininen koussi. Köyden toinen pää on poltettu. Tavaraa käytetään siirtolava-/vaihtolavavaijerina. Tavaraa toimitetaan eri materiaalivahvuuksilla ja pituuksilla. 

Teräsköyden ominaisuudet: 
- ainevahvuus 13 - 16 mm
- pituus 7,6 m, 9,0 m, 9,8 m, 11,0 m tai 12,0 m
- Rakenne 6 x 36 + IWR","OF STEEL,ROPE,STRANDED ROPES AND CABLES,LOOPS,PLATED OR COATED WITH ZINC"
"FIBTIFI001210-2023-BTI64","FI","01/09/2023","31/08/2026","55049000**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 5504 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
54 ryhmän huomautus 1.
55 ryhmän yleisohjeiden ja nimikkeen 5504 Harmonoidun järjestelmän selitykset.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","31/08/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Muuntokatkokuitu. Asiakkaan antamien tietojen mukaan
- tavara on selluloosasta valmistettua valkoista katkokuitua, joka on kiharrettu, katkottu ja pakattu;
- sulfaattisellu jauhetaan mekaanisesti pienemmiksi mikrofibrilleiksi vesisuspensiossa, minkä jälkeen se kuivakehrätään (dry spinning);
- katkokuidun pituus on enintään 60 millimetriä;
- kuituja ei ole karstattu, kammattu eikä muulla tavalla käsitelty kehruuta varten.","FIBRES,OF CELLULOSE,NOT CARDED,NOT COMBED,TEXTILE FIBRES,OF MAN-MADE TEXTILE MATERIAL"
"FIBTIFI001210-2023-BTI38","FI","09/05/2023","08/05/2026","3917390099************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 3b) ja 6.
Nimikkeen 3917 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
39 ryhmän huomautus 1 ja 8.
Harmonoidun järjestelmän selitykset, ryhmä 39/ yleisohjeet/ nimike 3917.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).
Tullikoodeksikomitean 202. kokous, asiakohta 7.13 (Customs Code Committee Tariff and Statistical Nomenclature Section Minutes of the 202nd Meeting of the Customs Code Committee (textiles and mechanical / miscellaneous sub-section)) / pöytäkirjamerkintä.","VALID","","","fi","","08/05/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Kyseessä on yhdistelmätavara, joka on valmistettu muovista. Se koostuu kelallisesta letkutelineestä, puutarhaletkusta, liitäntäletkusta ja kastelusuuttimesta. Letkuteline voidaan kiinnittää seinään. Tavara toimitetaan pakattuna vähittäismyyntiä varten.","OF PLASTICS,COMPOSITE GOODS,HOSE REELS,HOSES,FLEXIBLE,REINFORCED,NOZZLES,FOR THE GARDEN,FOR IRRIGATION"
"FIBTIFI001210-2023-BTI57","FI","21/07/2023","20/07/2026","55049000**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 5504 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
54 ryhmän huomautus 1.
55 ryhmän yleisohjeiden ja nimikkeen 5504 Harmonoidun järjestelmän selitykset.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).","VALID","","","fi","","20/07/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Muuntokatkokuitu. Asiakkaan antamien tietojen mukaan
- tavara on selluloosasta valmistettua valkoista katkokuitua, joka on kiharrettu, katkottu ja pakattu;
- sulfaattisellu jauhetaan mekaanisesti pienemmiksi mikrofibrilleiksi vesisuspensiossa, minkä jälkeen se kuivakehrätään (dry spinning);
- katkokuidun pituus on enintään 60 millimetriä;
- kuituja ei ole karstattu, kammattu eikä muulla tavalla käsitelty kehruuta varten.","FIBRES,OF CELLULOSE,NOT CARDED,NOT COMBED,TEXTILE FIBRES,OF MAN-MADE TEXTILE MATERIAL"
"FIBTIFI001210-2023-BTI58","FI","22/07/2023","21/07/2026","73181582**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 7318 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
XV jakson huomautus 2a.","VALID","","","fi","","21/07/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Galvanoidusta teräksestä valmistettu pultti tukipyörälle. Tavarassa on kierre molemmissa päissä ja toiseen kierteeseen on hitsattu kiinni mutteri. Tavaran kokonaispituus on 550 mm ja kierteen koko on M24.","ALLOY STEELS,THREADED ARTICLES,FOR FIXING,GALVANIZED,SCREWABLE"
"FIBTIFI001210-2023-BTI67","FI","13/10/2023","12/10/2026","40101200**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 4010 teksti ja sen alanimikkeiden tekstit. (Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Ryhmän 40 huomautus 1.
Harmonoidun järjestelmän selitykset, ryhmän 40 yleisohjeet, kappale ”Kumin ja tekstiiliaineiden yhdistelmät” ja kohta ”Ryhmän kattavuus”, alakohta e). Nimikkeen 4010 HS-selitykset. (https://tulli.fi/tietoa-tullista/tullin -toiminta/harmonoidun-jarjestelman-selityksia) (Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).","VALID","","","fi","","12/10/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on vulkanoidusta kumista valmistettu, tekstiilikuituvahvisteinen, lenkkimäinen paperikoneen mikrokreppausmatto. Se on väriltään vaaleanruskea ja sen pituus noin 4,8-7,6 metriä ja leveys noin 2-7 metriä ja paksuus noin 1 tuumaa. Mattoa käytetään paperin kreppaamiseen, jotta sen rakenteeseen saadaan joustavuutta. Matto toimitetaan pakattuna puulaatikkoon.","CARPETS,CONVEYOR BELTS,OF RUBBER,VULCANIZED,REINFORCED,WITH TEXTILE MATERIAL,FOR PAPER INDUSTRY"
"FIBTIFI001210-2025-BTI94","FI","18/11/2025","17/11/2028","4202929890************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 4202 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, nimike 4202.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","14/11/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on juomapullon kuljettamiseen ja säilyttämiseen tarkoitettu tasku. Tasku on muotoiltu pullon muotoon ja siinä on fleecevuori. Juomapullo kiinnitetään taskuun kahdella nauhalla, joissa pistolukkokiinnitys. Taskun toisella puolella on kaksi nauhaa sekä nauhasta valmistetut kujat (molle), joilla tasku voidaan kiinnittää toisiin tuotteisiin. Taskun etupuolella on erillinen tarrakiinnityksellä suljettava pikkutasku. Tavara on kooltaan noin 200 x 180 mm. Materiaalina on kudottu kangas (tekokuitua), jossa on muovisively nurjalla puolella.","OF TEXTILE MATERIAL,WOVEN FABRICS,WITH BUCKLE FASTENING,VELCRO STRAPS,REMOVABLE"
"FIBTIFI001210-2023-BTI85","FI","21/01/2024","20/01/2027","8711609090************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1, 2a ja 6.
Nimikkeen 8711 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2023/2364, julkaisupäivä 31.10.2023, Euroopan unionin virallinen lehti, L-sarja).","VALID","","","fi","","15/01/2024","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tavara on kevyt sähköajoneuvo, joka on tarkoitettu ensisijaisesti maastokäyttöön ja päällystämättömille teille. Muistuttaa ulkonäöltään etujousitettua sähkökäyttöistä paksuilla maastorenkailla varustettua maastopyörää (”fatbike”) mutta keskiön, kampien ja polkimien tilalla on jalkatapit. Alumiinirunko ja levyjarrut. Esitetään Tullille kokoamattomana ja pahvilaatikkoon pakattuna (P 155cm, K 85cm, L 30cm).","MOUNTAIN BIKES,MOPEDS,ELECTRIC MOBILITY SCOOTERS,CYCLES"
"FIBTIFI001210-2023-BTI29","FI","06/04/2023","05/04/2026","38070090**************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 3807 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, Euroopan unionin virallinen lehti L 282, 31.10.2022).
Harmonoidun järjestelmän selitykset, nimikkeen 3807 yleisohjeet kohta A, alakohta 2.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/harmonoidun-jarjestelman-selityksia).
Yhdistetyn nimikkeistön selittävät huomautukset, alanimike 3807 00 90.
(https://tulli.fi/tietoa-tullista/tullin-toiminta/yhdistetyn-nimikkeiston-selittavat-huomautukset).
Tullilaboratorion tutkimusseloste nro 23-00697 / 1162383.","VALID","","","fi","","05/04/2023","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
00101 Helsinki
FI","Tuote on nopealla pyrolyysillä valmistettu bioöljy. Raaka-aineet kuumennetaan nopeasti ja sen jälkeen muodostunut kaasu jäähdytetään nopeasti. Näin saadaan kondensoitunutta nestettä, joka on prosessin lopputuote. Se on väriltään tummanruskeaa ja ominaisuuksiltaan tahmeaa, paksuhkoa, mutta juoksevaa öljymäistä nestettä. Valmistuksen raaka-aineina voidaan käyttää sahateollisuuden sivuvirtoja tai puujätettä. Bioöljyä voidaan käyttää kemianteollisuuden raaka-aineena tai energiantuotannossa. Se toimitetaan asiakkaille bulkkina 2000 litran säiliöissä.","BIOFUEL,WOOD TAR OILS,DISTILLED,ORGANIC COMPOUNDS,AS LIQUID,FOR INDUSTRIAL USE"
"FIBTIFI001210-2025-BTI95","FI","18/11/2025","17/11/2028","4202929890************","Yhdistetyn nimikkeistön yleiset tulkintasäännöt 1 ja 6.
Nimikkeen 4202 teksti ja sen alanimikkeiden tekstit.
(Yhdistetty nimikkeistö, komission täytäntöönpanoasetus (EU) 2024/2522, julkaisupäivä 31.10.2024, Euroopan unionin virallinen lehti, L-sarja).
Harmonoidun järjestelmän selitykset, nimike 4202.
(https://tulli.fi/tutustu-tulliin/aineistot/kasikirjat).","VALID","","","fi","","14/11/2025","FI001210 Ulkomaankauppa- ja verotus Tulli
Opastinsilta 12 PL 512
FI-00101 Helsinki
FI","Tavara on kenttälapion kuljettamiseen ja säilyttämiseen tarkoitettu tasku. Tasku on muotoiltu lapion muotoon. Tasku voidaan sulkea läpällä, jossa on tarra- ja pistolukkokiinnitys. Taskun toisella puolella on kaksi nauhaa sekä nauhasta valmistetut kujat (molle), joilla tasku voidaan kiinnittää toisiin tuotteisiin. Tavara on kooltaan noin 235 x 180 x 60 mm. Materiaalina on kudottu kangas (tekokuitua), jossa on muovisively nurjalla puolella.","OF TEXTILE MATERIAL,WOVEN FABRICS,WITH BUCKLE FASTENING,VELCRO STRAPS,REMOVABLE"
